round,pickRound,pickNumber,PickValue,MlbRank,SigningBonus,MlbID,PlayerFirst,PlayerLast,UseName,MiddleName,BirthDate,PrimaryPosition,HomeCity,HomeState,HomeCountry,BirthCity,BirthState,BirthCountry,SchoolName,SchoolClass,SchoolCountry,SchoolState,Height,Weight,BatSide,PitchSide,DraftedTeam,MlbVideo,MlbBlurb
1,1,1,"$8,415,300.00",1,$0.00,668939,Adley,Rutschman,Adley,Stan,1998-02-06,C,SHERWOOD,Oregon,USA,Portland,OR,USA,Oregon State,4YR JR,USA,OR,74,216,S,R,Baltimore Orioles,https://atmlb.com/2WVJvqY,"Sometimes a player who enters his Draft season as the best player in the class struggles with the pressure and the spotlight. Then there are players like Rutschman, who has somehow managed to surpass expectations during his junior season at Oregon State after helping the Beavers win the College World Series and earning CWS Most Outstanding Player honors in the process. He capped things off by being a member of USA Baseball's National Collegiate Team over the summer and has kept on rolling on both sides of the ball this spring. The switch-hitting backstop is the complete package at and behind the plate. He has an advanced approach at the plate, walking more than he's struck out at Oregon State, with the ability to make consistent, hard contact and drive the ball from both sides of the plate. He'd been more of a gap-to-gap doubles hitter, but the over-the-fence power started to show up more during his junior season. Rutschman is also outstanding behind the plate, with excellent hands, agility and a very strong throwing arm. He's even a better runner than some give him credit for. With his all-around skills at a premium position while playing at the pinnacle of college baseball, Rutschman will be at the forefront of all conversations for the top pick in the Draft. The last time the Orioles took a switch-hitting college backstop with their first pick, Matt Wieters, it worked out pretty well."
1,2,2,"$7,789,900.00",2,$0.00,677951,Robert,Witt Jr.,Bobby,Andrew,2000-06-14,SS,COLLEYVILLE,Texas,USA,Colleyville,TX,USA,Colleyville Heritage HS,HS SR,USA,TX,73,190,R,R,Kansas City Royals,https://atmlb.com/2QcnfXe,"Bobby Witt went third overall in the 1985 Draft before winning 142 games during a 16-year big league career. His son could go even higher in the Draft in 2019, as he's the consensus top prep prospect available. He performed well at several prominent 2018 events, winning the High School Home Run Derby at the All-Star Game and claiming MVP honors at the Under Armour All-America Game, the States Play Series and the 18-and-under Pan American Championships in Panama. A rare potential five-tool shortstop, Witt didn't always make consistent contact on the showcase circuit last summer but scouts aren't worried about his bat. The right-handed hitter shows good barrel control and some willingness to use the entire field, so he could hit for average if he modifies his aggressive approach. His raw power and speed are both plus tools, which, combined with his baserunning instincts, could make him a 20-20 player. Witt covers plenty of ground at shortstop, has quick hands and possesses the arm strength to make all the necessary throws -- as well as pump mid-90s fastballs from the mound. His love for the game is evident, and scouts praise his makeup as much as his physical ability. He'll turn 19 shortly after the 2019 Draft, making him old for his class and sophomore-eligible in '21 in the unlikely event he follows through on his commitment to Oklahoma."
1,3,3,"$7,221,200.00",3,$0.00,683734,Andrew,Vaughn,Andrew,Clayton,1998-04-03,1B,SANTA ROSA,California,USA,Santa Rosa,CA,USA,California,4YR JR,USA,CA,72,214,R,R,Chicago White Sox,https://atmlb.com/2HIcQPo,"As an undersized right-handed first baseman, Vaughn was not much of a prospect coming out of high school, but he's swung his way to prominence at Cal. He was PAC-12 Freshman of the Year in his first season, then hit .402 with 23 homers in 2018 to win the Golden Spikes Award as an underclassman, a rare feat. He's continued to hit during his Draft season, putting him in position to be one of the first players chosen in the first round. Vaughn could very well be the best all-around hitter in this Draft class. He has a very advanced approach at the plate, one that has allowed him to walk much more than he has struck out throughout his Cal career, with a knack for barreling up the baseball. He doesn't sacrifice power as a result, showing the ability to hit the ball out to all fields, profiling as a true middle-of-the-order run producer in the future. He's a first baseman only, though he thinks he could handle third or the outfield, but should be fine at first, with decent hands and a solid arm that allowed him to pitch as a freshman. After a relatively ordinary summer with USA Baseball, Vaughn got back to mashing baseballs during his final college season. He is very much in the conversation at the very top of the Draft as a college hitter who should be able to move quickly through a system."
1,4,4,"$6,664,000.00",5,$0.00,668709,Jeffrey,Bleday,J.J.,Joseph,1997-11-10,OF,PANAMA CITY BEACH,Florida,USA,Danville,PA,USA,Vanderbilt,4YR JR,USA,TN,75,205,L,L,Miami Marlins,https://atmlb.com/30y0Poe,"Bleday immediately won a starting job at Vanderbilt as a freshman and was the Commodores' best hitter as a sophomore, though he missed six weeks with an oblique injury last spring. He made up for lost time by starring in the Cape Cod League, where scouts voted him the top prospect in the prestigious summer circuit. He has had a breakout junior season in terms of power, vying for the NCAA Division I home run lead, and could be the first college outfielder selected in June. Vanderbilt has had three outfielders drafted in the top three rounds in the last four years (Jeren Kendall, Bryan Reynolds, Rhett Wiseman), and Bleday is a better bet to produce at the plate than all of them. One of the best pure hitters in the college ranks, he has a quick left-handed swing, controls the strike zone well and hammers line drives to all fields. He has started to translate the bat speed, strength and leverage in his 6-foot-3 frame into at least solid power, beginning with slamming more homers with wood bats on the Cape (five) than he did with metal for the Commodores (four) in 2018. A two-way player in high school who showcased an upper-80s fastball on the mound, Bleday has a plus arm that fits well in right field. Though he's a below-average runner, he covers enough ground to serve as a competent defender. His instincts help make up for his lack of quickness on the bases and in the outfield."
1,5,5,"$6,180,700.00",6,$0.00,682985,Riley,Greene,Riley,,2000-09-28,OF,OVIEDO,Florida,USA,Orlando,FL,USA,Hagerty HS,HS SR,USA,FL,75,200,L,L,Detroit Tigers,https://atmlb.com/2VBOpIk,"A mainstay on the summer showcase circuit, Greene cemented his status as perhaps the best pure high school hitter in the class with his performance at several events. He capped it off by leading USA Baseball's 18 and Under National Team in RBIs as it won gold in the Pan-American Championships. He's done nothing to harm his status this spring. There is no one who doubts Greene will hit at the next level. The left-handed hitter has a terrific approach at the plate with a smooth swing. It's more of a line-drive approach right now, but he did start driving the ball more over the summer and he'll show excellent power in batting practice, especially to the pull side. Greene has been more athletic and has been moving better this spring, both down the line and in the outfield. He still profiles best as a corner outfielder, which might mean left field because of a less-than-average arm. How early Greene goes in the first round could depend on which team most firmly believes the power will emerge. Seeing the Florida Gators commit come off the board in the top half of the first round is a very reasonable outcome."
1,6,6,"$5,742,900.00",4,$0.00,682928,Paul,Abrams,CJ,Christopher,2000-10-03,SS,ALPHARETTA,Georgia,USA,Alpharetta,GA,USA,Blessed Trinity HS,HS SR,USA,GA,74,185,L,R,San Diego Padres,https://atmlb.com/2weZzs4,"Abrams is the best prospect to come out of Blessed Trinity Catholic High (Roswell, Ga.), which has produced big leaguers Tyler Flowers and Matt Skole, and 2010 first-rounder Jake Skole. Abrams' speed and athleticism compare favorably to any of the top prep talents in the 2019 Draft, and he's also one of the better high school hitters available. He draws comparisons to Dee Gordon, though he has considerably more pop than the former batting and stolen-base champ. Abrams has game-changing speed, uses his quickness to beat out bunts and grounders and has the instincts to develop into a premium basestealer. He has a quick left-handed stroke and controls the bat very well, making consistent contact and using the entire field. While he won't be a slugger, he has looked a little more physical this spring and has the bat speed and deceptive strength to hit 10-15 homers on an annual basis. The biggest question with Abrams is where he'll eventually make his defensive home. The Alabama recruit has solid arm strength and a chance to stick at shortstop, but he doesn't have the most fluid actions. He might fit better at second base or center field, and he played the latter position in deference to Bobby Witt Jr. on Team USA at the 18-and-under Pan American Championships in Panama last fall."
1,7,7,"$5,432,400.00",8,$0.00,666157,Nicholas,Lodolo,Nick,Frank,1998-02-05,P,LA VERNE,California,USA,La Verne,CA,USA,TCU,4YR JR,USA,TX,78,202,L,L,Cincinnati Reds,https://atmlb.com/2Epy2bV,"The highest unsigned pick from the 2016 Draft, Lodolo spurned the Pirates as a supplemental first-rounder (No. 41 overall) from a California high school. He immediately stepped into Texas Christian's rotation as a freshman but was somewhat of an enigma in his first two college seasons because his performances were more respectable than dominant. After showing more consistency and confidence this spring, he could be the first college pitcher drafted and beat out Lance Broadway (No. 15 overall in 2005) as the highest pick in Horned Frogs history. Lodolo usually works at 90-94 mph and peaks at 96 with sink on his fastball, using his 6-foot-6 frame to deliver it on a steep downhill plane. He showed inconsistent feel for spinning a curveball in the past and is focusing instead on a tighter slider in the low 80s that has become a solid offering. He also sells his changeup well and it has good action at the plate, giving him three pitches that all can grade as plus at their best. Lodolo has a long, lean body that could add more strength and an easy delivery. He's doing a better job of maintaining his three-quarters arm slot, resulting in improved control and command. He's also pitching with more confidence, attacking hitters and realizing the potential Pittsburgh saw in him three years ago."
1,8,8,"$5,176,900.00",16,$0.00,673962,Joshua,Jung,Josh,Ryne,1998-02-12,3B,SAN ANTONIO,Texas,USA,San Antonio,TX,USA,Texas Tech,4YR JR,USA,TX,74,215,R,R,Texas Rangers,https://atmlb.com/2EpQP6Z,"Jung has produced since he arrived at Texas Tech, starting with winning Big 12 Conference Freshman of the Year honors in 2017. He encored by topping the league in hitting (.392), on-base percentage (.491) and RBIs (80) while leading the Red Raiders to the College World Series as sophomore, then had a strong summer with Team USA. One of the more well-rounded offensive players in the college ranks, he should join Donald Harris as the only first-round picks in Tech history. Jung has a controlled approach at the plate, repeatedly barreling balls to all fields with a sound right-handed swing. He lets his power come naturally and his bat speed and strength should translate into 25 or more homers per year once he turns on more pitches, which he hasn't done with much frequency this spring. He manages the strike zone very well and has no shortcomings in his offensive game. Though Jung is a below-average runner, he's reasonably athletic and makes enough plays at third base. He has the strong arm required at the hot corner and should be able to stay there. His instincts help him make up for his lack of quickness in the field -- the Red Raiders moved him to shortstop in mid-April -- and on the bases."
1,9,9,"$4,949,100.00",10,$0.00,669127,Shea,Langeliers,Shea,Ryan,1997-11-18,C,KELLER,Texas,USA,Keller,TX,USA,Baylor,4YR JR,USA,TX,72,190,R,R,Atlanta Braves,https://atmlb.com/2VF6aGA,"Oregon State's Adley Rutschman is the favorite to go No. 1 overall in the 2019 Draft, and the player who shared catching duties with him on the U.S. collegiate national team last summer won't go far behind. Langeliers' defense alone could make him a first-rounder. Recovering from hitting .252 as a sophomore, he has looked better offensively this spring despite breaking the hamate in his left hand and rushing back after just three weeks. Langeliers has a cannon arm that can produce 1.7-second pop times in workouts and 1.8-second clockings during games, and he used it to erase 70 percent of basestealers as sophomore. The 2018 Rawlings/ABCA Gold Glove recipient as the best defensive catcher in college baseball, he's a quality receiver who's more agile and athletic than most at his position. He also has the strong leadership skills teams desire in a backstop. Even when Langeliers slumped last year, he still made consistent contact and doesn't have any glaring flaws in his right-handed stroke. It was more a matter of trying to do too much at the plate rather than letting his solid to plus raw power play without selling out for home runs. He's a below-average runner but quicker than a typical catcher."
1,10,10,"$4,739,900.00",7,$0.00,666183,Hunter,Bishop,Hunter,David,1998-06-25,OF,SAN CARLOS,California,USA,San Carlos,CA,USA,Arizona State,4YR JR,USA,AZ,77,210,L,R,San Francisco Giants,https://atmlb.com/2WgxGhV,"The younger brother of Mariners outfielder Braden Bishop, Hunter was an intriguing yet inconsistent prospect coming out of the Northern California high school ranks, one who headed to Arizona State rather than sign with the Padres, the team that took him in the 24th round of the 2016 Draft. For his first two years, Bishop showed glimpses of tools, but with the same issues that plagued him as a prepster. His junior year, however, has been a revelation, and he's put himself near the top of the college bats eligible to be drafted. Bishop's transformation came soon after he returned from his stint in the Cape Cod League, showing a new stance and rhythm at the plate during fall ball he has stuck with since. The left-handed hitter has always had tremendous raw power, but there have been questions about his ability to hit enough to tap into it. There will be some swing and miss, but he's shown bat speed, strength and loft consistently, with majestic home run power to his pull side, but also the ability to drive the ball to all fields. He runs very well for his size, regularly recording plus times down the line. That speed works in center field, with many scouts thinking he can stick there, even though this is the first time he's played there full-time. The only negative at all with Bishop now is a lack of a track record of success. His ability to stick to his gameplan consistently this season, to go along with his natural tools, has nearly everyone believing it's for real, lining him up for an early first-round selection."
