SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
A T Still University of Health Sciences,MO,MISSOURI,40.193648,-92.589183,"2,309",2019,,MO,,1
A.C. Davis High School (WA),WA,WASHINGTON,46.59638,-120.51623,,2019,HS,WA,X,1
A.N. Myer Secondary School (ON),ON,ONTARIO,43.1217,-79.10317,,2019,HS,ON,X,1
A&M Consolidated High School (TX),TX,,,,0,2019,HS,TX,,1
Aaniiih Nakoda College,MT,MONTANA,48.484196,-108.757816,"2,468",2019,,MT,,1
Aaron's Academy of Beauty,MD,MARYLAND,38.611356,-76.901993,"2,469",2019,,MD,,1
Abbey Park High School (ON),ON,ONTARIO,43.43615,-79.73562,,2019,HS,ON,X,1
ABCO Technology,CA,CALIFORNIA,33.978748,-118.395459,"2,470",2019,,CA,,1
Abcott Institute,MI,MICHIGAN,42.446331,-83.210617,"2,471",2019,,MI,,1
Abdill Career College Inc,OR,OREGON,42.328085,-122.863924,"2,472",2019,,OR,,1
Abilene Christian University,TX,TEXAS,32.46915,-99.70954,1,2019,1,Southland Conference,X,1
Abingdon High School (VA),VA,VIRGINIA,36.72065,-81.95431,,2019,HS,VA,X,1
Abington Memorial Hospital Dixon School of Nursing,PA,PENNSYLVANIA,40.161091,-75.130073,"2,473",2019,,PA,,1
Abraham Baldwin Agricultural College,GA,GEORGIA,31.481889,-83.528281,2,2019,JC,Georgia Collegiate Athletic Association,,1
Abraham Lincoln High School,NY,,40.5824,-73.9686,3,2019,HS,NY,,1
Abraham Lincoln University,CA,CALIFORNIA,34.06099,-118.301181,"2,474",2019,,CA,,1
ACA High School,AL,,,,4,2019,HS,AL,,1
Academic Magnet High School (SC),SC,,,,5,2019,HS,SC,,1
Academie of Baseball Canada,QC,QUEBEC,45.48,-73.59618,,2019,,,X,1
Academy College,MN,MINNESOTA,44.855722,-93.299809,"2,475",2019,,MN,,1
Academy Di Capelli-School of Cosmetology,CT,CONNECTICUT,41.489905,-72.806897,"2,476",2019,,CT,,1
Academy di Firenze,ID,IDAHO,42.723871,-114.519826,"2,477",2019,,ID,,1
Academy for Careers and Technology,SC,SOUTH CAROLINA,34.186433,-79.340157,"2,478",2019,,SC,,1
Academy for Five Element Acupuncture,FL,FLORIDA,29.650075,-82.321994,"2,479",2019,,FL,,1
Academy for Jewish Religion-California,CA,CALIFORNIA,34.06089,-118.293261,"2,480",2019,,CA,,1
Academy for Nursing and Health Occupations,FL,FLORIDA,26.70653,-80.121497,"2,481",2019,,FL,,1
Academy for Salon Professionals,CA,CALIFORNIA,34.23396,-118.558215,"2,482",2019,,CA,,1
Academy of Art University,CA,CALIFORNIA,37.787748,-122.400686,6,2019,2,Pacific West Conference,,1
Academy of Career Training,FL,FLORIDA,28.306092,-81.439569,"2,483",2019,,FL,,1
Academy of Careers and Technology,WV,WEST VIRGINIA,37.799775,-81.168609,"2,484",2019,,WV,,1
Academy of Chinese Culture and Health Sciences,CA,CALIFORNIA,37.806662,-122.272733,"2,485",2019,,CA,,1
Academy of Cosmetology,MT,MONTANA,45.680504,-111.039768,"2,486",2019,,MT,,1
Academy of Cosmetology and Esthetics,MO,MISSOURI,37.8375,-94.375701,"2,487",2019,,MO,,1
